iter	Passed	Remaining
420	2167	2981
421	2172	2976
422	2178	2971
423	2182	2965
424	2187	2959
425	2192	2953
426	2196	2947
427	2201	2941
428	2206	2936
429	2210	2930
430	2215	2924
431	2220	2918
432	2225	2914
433	2230	2908
434	2235	2903
435	2240	2897
436	2244	2892
437	2250	2887
438	2255	2882
439	2260	2877
440	2265	2871
441	2270	2866
442	2275	2861
443	2280	2855
444	2285	2850
445	2290	2845
446	2295	2839
447	2300	2834
448	2305	2829
449	2310	2824
450	2315	2818
451	2320	2813
452	2327	2810
453	2332	2805
454	2338	2800
455	2343	2795
456	2348	2790
457	2353	2785
458	2358	2779
459	2362	2773
460	2367	2767
461	2372	2762
462	2377	2757
463	2381	2751
464	2387	2746
465	2392	2741
466	2397	2736
467	2402	2730
468	2407	2725
469	2411	2719
470	2416	2714
471	2421	2709
472	2426	2703
473	2431	2698
474	2436	2693
475	2441	2687
476	2445	2681
477	2450	2675
478	2454	2669
479	2459	2664
480	2463	2658
481	2469	2653
482	2473	2647
483	2477	2641
484	2482	2636
485	2487	2630
486	2492	2625
487	2497	2619
488	2502	2615
489	2507	2609
490	2512	2604
491	2517	2599
492	2521	2593
493	2526	2587
494	2531	2582
495	2535	2576
496	2539	2570
497	2544	2564
498	2549	2559
499	2554	2554
500	2558	2548
501	2564	2543
502	2568	2538
503	2573	2532
504	2578	2527
505	2583	2522
506	2588	2517
507	2593	2511
508	2599	2507
509	2603	2501
510	2608	2495
511	2613	2490
512	2618	2485
513	2623	2480
514	2628	2475
515	2633	2470
516	2638	2464
517	2643	2459
518	2648	2454
519	2653	2449
520	2658	2443
521	2663	2438
522	2667	2433
523	2672	2427
524	2677	2422
525	2682	2417
526	2688	2412
527	2693	2407
528	2697	2402
529	2702	2396
530	2707	2391
531	2713	2386
532	2718	2382
533	2723	2377
534	2729	2372
535	2734	2367
536	2739	2362
537	2745	2357
538	2750	2352
539	2755	2347
540	2760	2342
541	2765	2336
542	2770	2331
543	2775	2326
544	2780	2321
545	2785	2316
546	2791	2311
547	2795	2305
548	2800	2300
549	2804	2294
550	2809	2289
551	2814	2284
552	2818	2278
553	2823	2273
554	2828	2267
555	2832	2261
556	2836	2256
557	2841	2250
558	2846	2245
559	2850	2239
560	2855	2234
561	2859	2228
562	2864	2223
563	2868	2217
564	2873	2212
565	2878	2206
566	2882	2201
567	2888	2196
568	2893	2191
569	2898	2186
570	2904	2181
571	2908	2176
572	2913	2171
573	2919	2166
574	2924	2161
575	2928	2156
576	2934	2151
577	2939	2146
578	2944	2141
579	2950	2136
580	2955	2131
581	2960	2126
582	2965	2121
583	2970	2116
584	2975	2111
585	2980	2105
586	2985	2100
587	2991	2095
588	2996	2090
589	3001	2085
590	3006	2080
591	3011	2075
592	3016	2070
593	3021	2065
594	3026	2060
595	3032	2055
596	3037	2050
597	3042	2045
598	3048	2040
599	3053	2035
600	3057	2030
601	3062	2024
602	3067	2019
603	3071	2013
604	3076	2008
605	3081	2003
606	3085	1997
607	3090	1992
608	3095	1987
609	3100	1982
610	3104	1976
611	3109	1971
612	3114	1966
613	3118	1960
614	3123	1955
615	3129	1950
616	3134	1945
617	3139	1940
618	3144	1935
619	3150	1930
620	3155	1925
621	3160	1920
622	3166	1915
623	3170	1910
624	3175	1905
625	3180	1900
626	3185	1895
627	3191	1890
628	3196	1885
629	3201	1879
630	3205	1874
631	3211	1869
632	3216	1864
633	3221	1859
634	3227	1854
635	3232	1849
636	3237	1845
637	3243	1840
638	3248	1835
639	3253	1829
640	3258	1825
641	3263	1819
642	3267	1814
643	3272	1809
644	3277	1803
645	3281	1798
646	3286	1792
647	3291	1787
648	3295	1782
649	3300	1776
650	3304	1771
651	3309	1766
652	3313	1760
653	3318	1755
654	3323	1750
655	3328	1745
656	3332	1739
657	3337	1734
658	3342	1729
659	3346	1723
660	3351	1718
661	3356	1713
662	3360	1708
663	3365	1702
664	3369	1697
665	3374	1692
666	3379	1687
667	3384	1682
668	3389	1676
669	3393	1671
670	3398	1666
671	3403	1661
672	3408	1655
673	3412	1650
674	3416	1645
675	3421	1640
676	3426	1634
677	3431	1629
678	3436	1624
679	3441	1619
680	3446	1614
681	3451	1609
682	3456	1604
683	3461	1599
684	3466	1593
685	3471	1588
686	3476	1583
687	3481	1578
688	3486	1573
689	3491	1568
690	3495	1563
691	3501	1558
692	3506	1553
693	3511	1548
694	3515	1542
695	3520	1537
696	3524	1532
697	3528	1526
698	3532	1521
699	3536	1515
700	3540	1510
701	3544	1504
702	3549	1499
703	3554	1494
704	3558	1489
705	3563	1483
706	3567	1478
707	3571	1473
708	3575	1467
709	3580	1462
710	3585	1457
711	3589	1452
712	3594	1447
713	3599	1441
714	3605	1436
715	3609	1431
716	3615	1426
717	3619	1421
718	3623	1415
719	3626	1410
720	3632	1405
721	3636	1400
722	3640	1394
723	3644	1389
724	3649	1384
725	3654	1379
726	3658	1373
727	3663	1368
728	3667	1363
729	3671	1358
730	3675	1352
731	3681	1347
732	3686	1342
733	3691	1337
734	3696	1332
735	3701	1327
736	3705	1322
737	3710	1317
738	3714	1311
739	3719	1306
740	3723	1301
741	3728	1296
742	3733	1291
743	3738	1286
744	3743	1281
745	3748	1276
746	3753	1271
747	3757	1266
748	3762	1260
749	3767	1255
750	3771	1250
751	3776	1245
752	3781	1240
753	3785	1235
754	3790	1230
755	3795	1225
756	3800	1219
757	3804	1214
758	3810	1209
759	3815	1204
760	3820	1199
761	3825	1194
762	3830	1189
763	3835	1184
764	3839	1179
765	3845	1174
766	3850	1169
767	3855	1164
768	3860	1159
769	3865	1154
770	3870	1149
771	3875	1144
772	3880	1139
773	3885	1134
774	3907	1134
775	3912	1129
776	3916	1124
777	3921	1119
778	3926	1113
779	3931	1108
780	3935	1103
781	3941	1098
782	3945	1093
783	3950	1088
784	3956	1083
785	3961	1078
786	3966	1073
787	3971	1068
788	3976	1063
789	3981	1058
790	3986	1053
791	3991	1048
792	3996	1043
793	4001	1038
794	4007	1033
795	4012	1028
796	4017	1023
797	4022	1018
798	4027	1013
799	4032	1008
800	4037	1003
801	4042	998
802	4047	993
803	4053	988
804	4058	983
805	4063	977
806	4068	972
807	4073	967
808	4078	962
809	4083	957
810	4088	952
811	4093	947
812	4097	942
813	4103	937
814	4108	932
815	4113	927
816	4118	922
817	4123	917
818	4128	912
819	4134	907
820	4139	902
821	4145	897
822	4150	892
823	4156	887
824	4160	882
825	4166	877
826	4171	872
827	4175	867
828	4180	862
829	4186	857
830	4190	852
831	4195	847
832	4200	842
833	4205	837
834	4210	831
835	4215	826
836	4219	821
837	4240	819
838	4245	814
839	4250	809
840	4254	804
841	4259	799
842	4264	794
843	4268	788
844	4274	783
845	4279	778
846	4283	773
847	4289	768
848	4293	763
849	4298	758
850	4304	753
851	4309	748
852	4314	743
853	4320	738
854	4325	733
855	4330	728
856	4344	724
857	4349	719
858	4354	714
859	4358	709
860	4363	704
861	4368	699
862	4373	694
863	4379	689
864	4385	684
865	4390	679
866	4395	674
867	4400	669
868	4406	664
869	4411	659
870	4416	654
871	4421	649
872	4426	644
873	4431	638
874	4436	633
875	4442	628
876	4448	623
877	4452	618
878	4458	613
879	4463	608
880	4468	603
881	4473	598
882	4478	593
883	4484	588
884	4489	583
885	4494	578
886	4499	573
887	4504	568
888	4509	563
889	4515	558
890	4521	553
891	4526	548
892	4531	543
893	4536	537
894	4541	532
895	4547	527
896	4553	522
897	4558	517
898	4564	512
899	4570	507
900	4575	502
901	4580	497
902	4585	492
903	4591	487
904	4596	482
905	4601	477
906	4606	472
907	4612	467
908	4617	462
909	4621	457
910	4627	452
911	4632	447
912	4637	441
913	4642	436
914	4647	431
915	4652	426
916	4657	421
917	4662	416
918	4668	411
919	4673	406
920	4678	401
921	4683	396
922	4688	391
923	4693	386
924	4699	381
925	4703	375
926	4709	370
927	4715	365
928	4720	360
929	4726	355
930	4731	350
931	4736	345
932	4742	340
933	4747	335
934	4751	330
935	4757	325
936	4762	320
937	4767	315
938	4772	310
939	4777	304
940	4782	299
941	4787	294
942	4792	289
943	4797	284
944	4802	279
945	4807	274
946	4813	269
947	4818	264
948	4823	259
949	4828	254
950	4833	249
951	4839	243
952	4844	238
953	4849	233
954	4854	228
955	4860	223
956	4865	218
957	4871	213
958	4876	208
959	4881	203
960	4886	198
961	4891	193
962	4896	188
963	4901	183
964	4906	177
965	4911	172
966	4916	167
967	4921	162
968	4927	157
969	4932	152
970	4937	147
971	4942	142
972	4948	137
973	4953	132
974	4959	127
975	4964	122
976	4969	116
977	4974	111
978	4979	106
979	4985	101
980	4989	96
981	4994	91
982	5000	86
983	5005	81
984	5009	76
985	5015	71
986	5020	66
987	5025	61
988	5030	55
989	5035	50
990	5041	45
991	5046	40
992	5052	35
993	5057	30
994	5062	25
995	5068	20
996	5073	15
997	5078	10
998	5084	5
999	5090	0
