iter	Logloss
0	0.6748371444
1	0.657859442
2	0.6414923002
3	0.6265975511
4	0.6135207843
5	0.6026541054
6	0.5901388537
7	0.5783939329
8	0.5702164175
9	0.55968269
10	0.5504202231
11	0.5412691357
12	0.5343105284
13	0.5279699956
14	0.5203994041
15	0.5144386091
16	0.5092038459
17	0.5042497247
18	0.4981677243
19	0.4932109906
20	0.4888865186
21	0.4848656967
22	0.4804599083
23	0.4764689838
24	0.4718783429
25	0.4685256047
26	0.4647622969
27	0.4609795818
28	0.4583213473
29	0.4547277584
30	0.4514983298
31	0.4489426512
32	0.4463018774
33	0.4441808231
34	0.4417897663
35	0.4393366236
36	0.4374198545
37	0.4351014653
38	0.433327791
39	0.4313460786
40	0.4296834624
41	0.4278223748
42	0.4260982218
43	0.4245182461
44	0.4229328629
45	0.4213755628
46	0.4198586742
47	0.4185189821
48	0.4172772114
49	0.4160654662
50	0.4145483143
51	0.4134780845
52	0.4125134055
53	0.4115690491
54	0.4102843841
55	0.4094000603
56	0.4084479193
57	0.4073108102
58	0.4065087908
59	0.4056620278
60	0.4047383187
61	0.4039723905
62	0.4033904151
63	0.402608409
64	0.401836894
65	0.4011468418
66	0.400311134
67	0.3998635678
68	0.3991478691
69	0.3984509124
70	0.3975688541
71	0.3968924211
72	0.3961714242
73	0.3952463165
74	0.3945599944
75	0.3938307079
76	0.3933529594
77	0.3931769975
78	0.3925589881
79	0.3920320216
80	0.3915782633
81	0.3910668219
82	0.3905598982
83	0.3899665536
84	0.3895037767
85	0.3890953553
86	0.3885785357
87	0.3881376937
88	0.3876874276
89	0.3872541735
90	0.3867455867
91	0.3863022596
92	0.3858205738
93	0.3854801409
94	0.3851346378
95	0.3846936309
96	0.3842530157
97	0.38376426
98	0.3833456356
99	0.3830629086
100	0.3826078215
101	0.3823758468
102	0.3818832143
103	0.381603755
104	0.3812298997
105	0.3809270674
106	0.3805250393
107	0.3802228248
108	0.379927382
109	0.3796634034
110	0.3792852291
111	0.3788811664
112	0.3786141024
113	0.3784546934
114	0.3781843462
115	0.377880672
116	0.3776313517
117	0.3772844708
118	0.3769756166
119	0.3766525968
120	0.3763840011
121	0.3760335021
122	0.3757683264
123	0.3755604706
124	0.3752814001
125	0.3750332029
126	0.3746376172
127	0.3743084876
128	0.3739937407
129	0.3737543439
130	0.3734752195
131	0.373143114
132	0.3729949365
133	0.3727502718
134	0.3725879971
135	0.3723194739
136	0.3720977803
137	0.3719686264
138	0.3716788595
139	0.3714485495
